"","Year","Country","Populations","Emissions_Yearly_Total","Emissions_Capita","LAT","LONG","Global_Pop"
"118","X1960","Senegal",3047804,828.6666667,0.271889749690816,14,-14,20883850512
"119","X1960","Cambodia",5433306,234.6666667,0.043190401325945,13,105,20883850512
"120","X1960","Suriname",290000,432.6666667,1.49195402298851,4,-56,20883850512
"121","X1960","Singapore",1633694,1393.333333,0.852872896229853,1.366667,103.8,20883850512
"122","X1960","Portugal",8882954,8224.333333,0.925855670684924,39.5,-8,20883850512
"123","X1960","Liberia",1115736,165,0.147884445782873,6.5,-9.5,20883850512
"124","X1960","Kenya",8105435,2427.333333,0.299469841326632,1,38,20883850512
"125","X1960","France",45688594,271194,5.9357046531132,46,2,20883850512
"126","X1960","Vietnam",35172657,7491,0.212977939084898,16.166667,107.833333,20883850512
"127","X1961","Sudan",9416392,1386,0.147190133970633,16,30,21162222957
"128","X1961","El Salvador",2859302,583,0.203895915856387,13.833333,-88.916667,21162222957
"129","X1961","Tanzania",10373274,671,0.067866712091091,-6,35,21162222957
"130","X1961","Uruguay",2571134,4121.333333,1.60292436463184,-33,-56,21162222957
"131","X1961","Austria",7080528,31859.66667,4.49961735433666,47.333333,13.333333,21162222957
"132","X1961","Jordan",935159,979,1.04688079781085,31,36,21162222957
"133","X1961","New Zealand",2423770,11766.33333,4.85455853209394,-42,174,21162222957
"134","X1961","Chad",3017366,51.33333333,0.017012630663079,15,19,21162222957
"135","X1961","Romania",18533445,55770,3.00915453117324,46,25,21162222957
"136","X1961","United States",189192675,2880243.667,15.2238645955329,39.828175,-98.5795,21162222957
"137","X1961","Italy",49865553,124538.3333,2.49748224657878,42.833333,12.833333,21162222957
"138","X1961","Netherlands",11575478,75881.66667,6.55538083754871,52.5,5.75,21162222957
"139","X1961","Guinea",3592879,616,0.1714502492291,11,-10,21162222957
"140","X1961","Colombia",16487391,18216,1.10484430192745,4,-72,21162222957
"141","X1961","Finland",4463165,14938,3.34695221888503,64,26,21162222957
"142","X1961","Mauritius",678408,187,0.275645334371057,-20.3,57.583333,21162222957
